o1,o1.cpus,o1.min_memory,o1.priority,o1.command,o1.state,o1.work_dir,o2,o2.cpu_load,o2.free_mem,o2.cpu,o2.state,e1
59642158,96,2540M,,run.sh,RUNNING,/rwthfs/rz/cluster/home/nv626064/rwth/_Pauline_/CrAlN/opt_2x2x2/Cr15Al15N32/barriers/N_40-N_59,host_n23m0133,96.64,176596,96,"""alloc""",start-59642158-1
59913288,2,5201M,,submission.sh,RUNNING,/rwthfs/rz/cluster/work/cn656560/job/job1,host_n23m0231,63.9,484729,96,"""alloc""",ended-_59913288-0
59913288,2,5201M,,submission.sh,RUNNING,/rwthfs/rz/cluster/work/cn656560/job/job1,host_n23m0231,63.9,484729,96,"""alloc""",submit-59913288-0
59913288,2,5201M,,submission.sh,RUNNING,/rwthfs/rz/cluster/work/cn656560/job/job1,host_n23m0231,63.9,484729,96,"""alloc""",start-59913288-1
59912409,1,2540M,,run_array.sh,RUNNING,/rwthfs/rz/cluster/home/nn469221/WeaklySupervised,host_n23m0231,63.9,484729,96,"""alloc""",start-59912409-1
59912409,1,2540M,,run_array.sh,RUNNING,/rwthfs/rz/cluster/home/nn469221/WeaklySupervised,host_n23m0231,63.9,484729,96,"""alloc""",cancelled-_59912409-0
59912409,1,2540M,,run_array.sh,RUNNING,/rwthfs/rz/cluster/home/nn469221/WeaklySupervised,host_n23m0231,63.9,484729,96,"""alloc""",submit-59912409-0
59912409,1,2540M,,run_array.sh,RUNNING,/rwthfs/rz/cluster/home/nn469221/WeaklySupervised,host_n23m0231,63.9,484729,96,"""alloc""",ending-_59912409-0
59642157,96,2540M,,run.sh,RUNNING,/rwthfs/rz/cluster/home/nv626064/rwth/_Pauline_/CrAlN/opt_2x2x2/Cr15Al15N32/barriers/N_57-N_59,host_n23m0256,96.31,176629,96,"""alloc""",submit-59642157-0
59642157,96,2540M,,run.sh,RUNNING,/rwthfs/rz/cluster/home/nv626064/rwth/_Pauline_/CrAlN/opt_2x2x2/Cr15Al15N32/barriers/N_57-N_59,host_n23m0256,96.31,176629,96,"""alloc""",start-59642157-1
59898598,6,2000M,,jobScripts.zsh,RUNNING,/rwthfs/rz/cluster/work/rwth0910/U03Sig28Asb212Eta733Con08Wsb0722_FroV56_7_2,host_n23m0049,41.56,215251,96,"""drng""",submit-59898598-0
59898598,6,2000M,,jobScripts.zsh,RUNNING,/rwthfs/rz/cluster/work/rwth0910/U03Sig28Asb212Eta733Con08Wsb0722_FroV56_7_2,host_n23m0049,41.56,215251,96,"""drng""",start-59898598-1
59912205,1,4G,,job_kontroll2.job,RUNNING,/rwthfs/rz/cluster/work/rwth1773/vp_ae/pulmonary_simulator/optimization/optimization_scripts,host_n23m0363,48.08,428560,96,"""mix""",submit-59912205-0
59912205,1,4G,,job_kontroll2.job,RUNNING,/rwthfs/rz/cluster/work/rwth1773/vp_ae/pulmonary_simulator/optimization/optimization_scripts,host_n23m0363,48.08,428560,96,"""mix""",ended-_59912205-0
59912205,1,4G,,job_kontroll2.job,RUNNING,/rwthfs/rz/cluster/work/rwth1773/vp_ae/pulmonary_simulator/optimization/optimization_scripts,host_n23m0363,48.08,428560,96,"""mix""",start-59912205-1
59913778,2,5201M,,submission.sh,RUNNING,/rwthfs/rz/cluster/work/cn656560/job/job1,host_n23m0074,96.1,459940,96,"""alloc""",submit-59913778-0
